mobility	selfcare	activity	pain	anxiety	EQ5Dindex
1	1	1	1	1	1.000
1	1	1	1	2	0.814
1	1	1	1	3	0.766
1	1	1	1	4	0.660
1	1	1	1	5	0.549
1	1	1	2	1	0.780
1	1	1	2	2	0.723
1	1	1	2	3	0.708
1	1	1	2	4	0.602
1	1	1	2	5	0.491
1	1	1	3	1	0.726
1	1	1	3	2	0.701
1	1	1	3	3	0.694
1	1	1	3	4	0.588
1	1	1	3	5	0.477
1	1	1	4	1	0.616
1	1	1	4	2	0.590
1	1	1	4	3	0.584
1	1	1	4	4	0.505
1	1	1	4	5	0.422
1	1	1	5	1	0.450
1	1	1	5	2	0.425
1	1	1	5	3	0.418
1	1	1	5	4	0.380
1	1	1	5	5	0.340
1	1	2	1	1	0.791
1	1	2	1	2	0.734
1	1	2	1	3	0.719
1	1	2	1	4	0.612
1	1	2	1	5	0.502
1	1	2	2	1	0.701
1	1	2	2	2	0.669
1	1	2	2	3	0.661
1	1	2	2	4	0.555
1	1	2	2	5	0.444
1	1	2	3	1	0.679
1	1	2	3	2	0.653
1	1	2	3	3	0.647
1	1	2	3	4	0.540
1	1	2	3	5	0.430
1	1	2	4	1	0.568
1	1	2	4	2	0.543
1	1	2	4	3	0.536
1	1	2	4	4	0.457
1	1	2	4	5	0.375
1	1	2	5	1	0.403
1	1	2	5	2	0.377
1	1	2	5	3	0.371
1	1	2	5	4	0.332
1	1	2	5	5	0.293
1	1	3	1	1	0.739
1	1	3	1	2	0.714
1	1	3	1	3	0.707
1	1	3	1	4	0.601
1	1	3	1	5	0.490
1	1	3	2	1	0.681
1	1	3	2	2	0.656
1	1	3	2	3	0.649
1	1	3	2	4	0.543
1	1	3	2	5	0.432
1	1	3	3	1	0.667
1	1	3	3	2	0.642
1	1	3	3	3	0.635
1	1	3	3	4	0.529
1	1	3	3	5	0.418
1	1	3	4	1	0.557
1	1	3	4	2	0.531
1	1	3	4	3	0.525
1	1	3	4	4	0.446
1	1	3	4	5	0.363
1	1	3	5	1	0.391
1	1	3	5	2	0.366
1	1	3	5	3	0.359
1	1	3	5	4	0.321
1	1	3	5	5	0.281
1	1	4	1	1	0.674
1	1	4	1	2	0.649
1	1	4	1	3	0.642
1	1	4	1	4	0.558
1	1	4	1	5	0.471
1	1	4	2	1	0.616
1	1	4	2	2	0.591
1	1	4	2	3	0.584
1	1	4	2	4	0.500
1	1	4	2	5	0.413
1	1	4	3	1	0.602
1	1	4	3	2	0.577
1	1	4	3	3	0.570
1	1	4	3	4	0.486
1	1	4	3	5	0.399
1	1	4	4	1	0.510
1	1	4	4	2	0.485
1	1	4	4	3	0.478
1	1	4	4	4	0.412
1	1	4	4	5	0.344
1	1	4	5	1	0.372
1	1	4	5	2	0.346
1	1	4	5	3	0.340
