"","mobility","selfcare","activity","pain","anxiety","thai_utility","indo_utility"
"1",1,1,1,1,1,1,1
"2",1,1,1,1,2,0.814,0.921
"3",1,1,1,1,3,0.766,0.866
"4",1,1,1,1,4,0.66,0.773
"5",1,1,1,1,5,0.549,0.695
"6",1,1,1,2,1,0.78,0.914
"7",1,1,1,2,2,0.723,0.835
"8",1,1,1,2,3,0.708,0.78
"9",1,1,1,2,4,0.602,0.687
"10",1,1,1,2,5,0.491,0.609
"11",1,1,1,3,1,0.726,0.905
"12",1,1,1,3,2,0.701,0.826
"13",1,1,1,3,3,0.694,0.771
"14",1,1,1,3,4,0.588,0.678
"15",1,1,1,3,5,0.477,0.6
"16",1,1,1,4,1,0.616,0.802
"17",1,1,1,4,2,0.59,0.723
"18",1,1,1,4,3,0.584,0.668
"19",1,1,1,4,4,0.505,0.575
"20",1,1,1,4,5,0.422,0.497
"21",1,1,1,5,1,0.45,0.754
"22",1,1,1,5,2,0.425,0.675
"23",1,1,1,5,3,0.418,0.62
"24",1,1,1,5,4,0.38,0.527
"25",1,1,1,5,5,0.34,0.449
"26",1,1,2,1,1,0.791,0.91
"27",1,1,2,1,2,0.734,0.831
"28",1,1,2,1,3,0.719,0.776
"29",1,1,2,1,4,0.612,0.683
"30",1,1,2,1,5,0.502,0.605
"31",1,1,2,2,1,0.701,0.824
"32",1,1,2,2,2,0.669,0.745
"33",1,1,2,2,3,0.661,0.69
"34",1,1,2,2,4,0.555,0.597
"35",1,1,2,2,5,0.444,0.519
"36",1,1,2,3,1,0.679,0.815
"37",1,1,2,3,2,0.653,0.736
"38",1,1,2,3,3,0.647,0.681
"39",1,1,2,3,4,0.54,0.588
"40",1,1,2,3,5,0.43,0.51
"41",1,1,2,4,1,0.568,0.712
"42",1,1,2,4,2,0.543,0.633
"43",1,1,2,4,3,0.536,0.578
"44",1,1,2,4,4,0.457,0.485
"45",1,1,2,4,5,0.375,0.407
"46",1,1,2,5,1,0.403,0.664
"47",1,1,2,5,2,0.377,0.585
"48",1,1,2,5,3,0.371,0.53
"49",1,1,2,5,4,0.332,0.437
"50",1,1,2,5,5,0.293,0.359
"51",1,1,3,1,1,0.739,0.844
"52",1,1,3,1,2,0.714,0.765
"53",1,1,3,1,3,0.707,0.71
"54",1,1,3,1,4,0.601,0.617
"55",1,1,3,1,5,0.49,0.539
"56",1,1,3,2,1,0.681,0.758
"57",1,1,3,2,2,0.656,0.679
"58",1,1,3,2,3,0.649,0.624
"59",1,1,3,2,4,0.543,0.531
"60",1,1,3,2,5,0.432,0.453
"61",1,1,3,3,1,0.667,0.749
"62",1,1,3,3,2,0.642,0.67
"63",1,1,3,3,3,0.635,0.615
"64",1,1,3,3,4,0.529,0.522
"65",1,1,3,3,5,0.418,0.444
"66",1,1,3,4,1,0.557,0.646
"67",1,1,3,4,2,0.531,0.567
"68",1,1,3,4,3,0.525,0.512
"69",1,1,3,4,4,0.446,0.419
"70",1,1,3,4,5,0.363,0.341
"71",1,1,3,5,1,0.391,0.598
"72",1,1,3,5,2,0.366,0.519
"73",1,1,3,5,3,0.359,0.464
"74",1,1,3,5,4,0.321,0.371
"75",1,1,3,5,5,0.281,0.293
"76",1,1,4,1,1,0.674,0.699
"77",1,1,4,1,2,0.649,0.62
"78",1,1,4,1,3,0.642,0.565
"79",1,1,4,1,4,0.558,0.472
"80",1,1,4,1,5,0.471,0.394
"81",1,1,4,2,1,0.616,0.613
"82",1,1,4,2,2,0.591,0.534
"83",1,1,4,2,3,0.584,0.479
"84",1,1,4,2,4,0.5,0.386
"85",1,1,4,2,5,0.413,0.308
"86",1,1,4,3,1,0.602,0.604
"87",1,1,4,3,2,0.577,0.525
"88",1,1,4,3,3,0.57,0.47
"89",1,1,4,3,4,0.486,0.377
"90",1,1,4,3,5,0.399,0.299
"91",1,1,4,4,1,0.51,0.501
"92",1,1,4,4,2,0.485,0.422
"93",1,1,4,4,3,0.478,0.367
"94",1,1,4,4,4,0.412,0.274
"95",1,1,4,4,5,0.344,0.196
"96",1,1,4,5,1,0.372,0.453
"97",1,1,4,5,2,0.346,0.374
"98",1,1,4,5,3,0.34,0.319
"99",1,1,4,5,4,0.301,0.226
"100",1,1,4,5,5,0.262,0.148
"101",1,1,5,1,1,0.541,0.615
"102",1,1,5,1,2,0.516,0.536
"103",1,1,5,1,3,0.509,0.481
"104",1,1,5,1,4,0.471,0.388
"105",1,1,5,1,5,0.431,0.31
"106",1,1,5,2,1,0.483,0.529
"107",1,1,5,2,2,0.458,0.45
"108",1,1,5,2,3,0.451,0.395
"109",1,1,5,2,4,0.413,0.302
"110",1,1,5,2,5,0.373,0.224
